cmo,school,quart,grade,subject,boy,moy,eoy
Rocketship,Rocketship Mosaic,3rd Quartile,1,reading,0.157894737,0.173913043,
Rocketship,Rocketship Mosaic,2nd Quartile,1,reading,0.280701754,0.217391304,
Rocketship,Rocketship Mosaic,Bottom Quartile,1,reading,0.333333333,0.382608696,
Rocketship,Rocketship Discovery Prep,Top Quartile,1,reading,0.212389381,0.252173913,
Rocketship,Rocketship Discovery Prep,3rd Quartile,1,reading,0.221238938,0.27826087,
Rocketship,Rocketship Discovery Prep,2nd Quartile,1,reading,0.327433628,0.217391304,
Rocketship,Rocketship Discovery Prep,Bottom Quartile,1,reading,0.238938053,0.252173913,
Rocketship,Rocketship Brilliant Minds,Top Quartile,1,reading,0.17699115,0.185840708,
Rocketship,Rocketship Brilliant Minds,3rd Quartile,1,reading,0.203539823,0.194690265,
Rocketship,Rocketship Brilliant Minds,2nd Quartile,1,reading,0.265486726,0.256637168,
Rocketship,Rocketship Brilliant Minds,Bottom Quartile,1,reading,0.353982301,0.362831858,
Rocketship,Rocketship Alma Academy,Top Quartile,1,reading,0.229665072,0.248780488,
Rocketship,Rocketship Alma Academy,3rd Quartile,1,reading,0.177033493,0.195121951,
Rocketship,Rocketship Alma Academy,2nd Quartile,1,reading,0.392344498,0.248780488,
Rocketship,Rocketship Alma Academy,Bottom Quartile,1,reading,0.200956938,0.307317073,
Rocketship,Rocketship Spark Academy,Top Quartile,1,reading,0.175925926,0.342105263,
Rocketship,Rocketship Spark Academy,3rd Quartile,1,reading,0.157407407,0.271929825,
Rocketship,Rocketship Spark Academy,2nd Quartile,1,reading,0.314814815,0.201754386,
Rocketship,Rocketship Spark Academy,Bottom Quartile,1,reading,0.351851852,0.184210526,
Rocketship,Rocketship Southside Community Prep,Top Quartile,1,reading,0.068181818,0.142857143,
Rocketship,Rocketship Southside Community Prep,3rd Quartile,1,reading,0.204545455,0.285714286,
Rocketship,Rocketship Southside Community Prep,2nd Quartile,1,reading,0.181818182,0.238095238,
Rocketship,Rocketship Southside Community Prep,Bottom Quartile,1,reading,0.545454545,0.333333333,
ReNEW,ReNEW Cultural Arts Academy,Top Quartile,2,reading,0.036363636,0.054545455,
ReNEW,ReNEW Cultural Arts Academy,3rd Quartile,2,reading,0.254545455,0.2,
ReNEW,ReNEW Cultural Arts Academy,2nd Quartile,2,reading,0.381818182,0.363636364,
ReNEW,ReNEW Cultural Arts Academy,Bottom Quartile,2,reading,0.327272727,0.381818182,
ReNEW,SciTech Academy,Top Quartile,2,reading,0.125,0.104166667,
ReNEW,SciTech Academy,3rd Quartile,2,reading,0.125,0.229166667,
ReNEW,SciTech Academy,2nd Quartile,2,reading,0.416666667,0.416666667,
ReNEW,SciTech Academy,Bottom Quartile,2,reading,0.333333333,0.25,
ReNEW,Dolores T Aaron Elementary,Top Quartile,2,reading,0.034883721,0.058139535,
ReNEW,Dolores T Aaron Elementary,3rd Quartile,2,reading,0.209302326,0.255813953,
ReNEW,Dolores T Aaron Elementary,2nd Quartile,2,reading,0.23255814,0.337209302,
ReNEW,Dolores T Aaron Elementary,Bottom Quartile,2,reading,0.523255814,0.348837209,
ReNEW,Schaumburg Elementary,Top Quartile,2,reading,0.025974026,0.064935065,
ReNEW,Schaumburg Elementary,3rd Quartile,2,reading,0.142857143,0.103896104,
ReNEW,Schaumburg Elementary,2nd Quartile,2,reading,0.246753247,0.376623377,
ReNEW,Schaumburg Elementary,Bottom Quartile,2,reading,0.584415584,0.454545455,
E.L. Haynes PCS,E.L. Haynes PCS,Top Quartile,2,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,3rd Quartile,2,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,2nd Quartile,2,reading,,,
E.L. Haynes PCS,E.L. Haynes PCS,Bottom Quartile,2,reading,,,
DC Prep,DC Prep-Edgewood Elementary Campus,Top Quartile,2,reading,0.441176471,0.411764706,
DC Prep,DC Prep-Edgewood Elementary Campus,3rd Quartile,2,reading,0.367647059,0.25,
DC Prep,DC Prep-Edgewood Elementary Campus,2nd Quartile,2,reading,0.117647059,0.191176471,
DC Prep,DC Prep-Edgewood Elementary Campus,Bottom Quartile,2,reading,0.073529412,0.147058824,
